Geography,National,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maine-1,Maine-2,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nebraska-1,Nebraska-2,Nebraska-3,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Maine-2,0.022,0.0,0.006,0.015,0.002,0.005,0.003,0.002,0.004,0.0,0.013,0.015,0.0,0.0,0.002,0.004,0.005,0.0,0.0,0.0,0.004,0.004,0.677,0.006,0.005,0.016,0.007,0.0,0.004,0.008,0.01,0.0,0.007,0.0,0.012,0.007,0.001,0.007,0.004,0.016,0.005,0.01,0.003,0.007,0.018,0.004,0.004,0.0,0.006,0.01,0.006,0.001,0.005,0.008,0.001,0.016,0.0
Maryland,0.018,0.0,0.005,0.011,0.001,0.005,0.003,0.002,0.003,0.0,0.01,0.012,0.0,0.0,0.002,0.003,0.003,0.0,0.0,0.0,0.002,0.002,0.004,0.764,0.006,0.01,0.006,0.0,0.002,0.004,0.006,0.0,0.003,0.0,0.011,0.005,0.002,0.005,0.005,0.011,0.003,0.006,0.002,0.005,0.012,0.003,0.003,0.0,0.004,0.008,0.004,0.001,0.006,0.008,0.001,0.01,0.0
Massachusetts,0.027,0.0,0.007,0.017,0.002,0.008,0.005,0.004,0.004,0.0,0.014,0.016,0.0,0.0,0.002,0.004,0.004,0.0,0.0,0.0,0.002,0.002,0.006,0.013,0.642,0.015,0.009,0.0,0.004,0.006,0.01,0.0,0.004,0.0,0.015,0.007,0.003,0.007,0.009,0.016,0.005,0.01,0.003,0.008,0.019,0.005,0.004,0.0,0.006,0.011,0.006,0.001,0.008,0.012,0.001,0.016,0.0
Michigan,0.008,0.0,0.002,0.005,0.001,0.002,0.001,0.001,0.001,0.0,0.004,0.006,0.0,0.0,0.001,0.002,0.002,0.0,0.0,0.0,0.001,0.001,0.003,0.003,0.002,0.888,0.003,0.0,0.002,0.002,0.004,0.0,0.002,0.0,0.004,0.002,0.001,0.003,0.002,0.006,0.002,0.004,0.001,0.003,0.007,0.001,0.001,0.0,0.002,0.004,0.002,0.0,0.002,0.003,0.0,0.006,0.0
Minnesota,0.023,0.0,0.006,0.014,0.002,0.006,0.004,0.003,0.003,0.0,0.011,0.015,0.0,0.0,0.002,0.004,0.005,0.0,0.0,0.0,0.002,0.002,0.006,0.008,0.006,0.015,0.687,0.0,0.004,0.006,0.01,0.0,0.004,0.0,0.012,0.006,0.002,0.007,0.006,0.014,0.005,0.009,0.002,0.007,0.018,0.004,0.003,0.0,0.005,0.01,0.006,0.001,0.006,0.01,0.001,0.017,0.0
Mississippi,0.068,0.0,0.018,0.046,0.008,0.016,0.01,0.007,0.011,0.0,0.037,0.057,0.0,0.0,0.006,0.014,0.014,0.0,0.0,0.0,0.008,0.008,0.019,0.024,0.015,0.048,0.022,0.0,0.012,0.02,0.029,0.0,0.014,0.0,0.04,0.016,0.005,0.027,0.015,0.054,0.013,0.031,0.01,0.02,0.048,0.01,0.014,0.0,0.021,0.035,0.016,0.003,0.017,0.024,0.004,0.047,0.0
Missouri,0.042,0.0,0.01,0.029,0.004,0.009,0.006,0.004,0.006,0.0,0.023,0.03,0.0,0.0,0.003,0.009,0.009,0.0,0.0,0.0,0.005,0.005,0.013,0.013,0.009,0.031,0.014,0.0,0.395,0.014,0.019,0.0,0.01,0.0,0.023,0.01,0.003,0.014,0.009,0.031,0.009,0.02,0.005,0.013,0.033,0.006,0.008,0.0,0.012,0.02,0.01,0.002,0.01,0.015,0.002,0.031,0.0
Montana,0.023,0.0,0.007,0.018,0.002,0.005,0.004,0.002,0.004,0.0,0.014,0.016,0.0,0.0,0.002,0.005,0.005,0.0,0.0,0.0,0.004,0.004,0.009,0.007,0.005,0.017,0.008,0.0,0.005,0.65,0.011,0.0,0.007,0.0,0.014,0.007,0.001,0.008,0.005,0.017,0.006,0.011,0.003,0.008,0.019,0.004,0.004,0.0,0.007,0.011,0.006,0.001,0.006,0.009,0.001,0.018,0.0
Nebraska,0.018,0.0,0.005,0.012,0.001,0.004,0.003,0.002,0.003,0.0,0.009,0.012,0.0,0.0,0.001,0.003,0.004,0.0,0.0,0.0,0.002,0.002,0.005,0.006,0.004,0.012,0.006,0.0,0.003,0.005,0.753,0.0,0.004,0.0,0.01,0.004,0.001,0.006,0.004,0.012,0.004,0.008,0.002,0.006,0.014,0.003,0.003,0.0,0.005,0.009,0.005,0.001,0.004,0.007,0.001,0.014,0.0
Nebraska-1,0.065,0.0,0.017,0.046,0.006,0.014,0.01,0.007,0.011,0.0,0.04,0.045,0.0,0.0,0.005,0.013,0.014,0.0,0.0,0.0,0.012,0.012,0.03,0.019,0.014,0.049,0.022,0.0,0.013,0.025,0.031,0.0,0.021,0.0,0.036,0.021,0.004,0.022,0.013,0.048,0.015,0.03,0.008,0.022,0.055,0.011,0.011,0.0,0.018,0.031,0.019,0.004,0.016,0.024,0.004,0.05,0.0
Nebraska-2,0.03,0.0,0.008,0.021,0.003,0.007,0.005,0.003,0.005,0.0,0.018,0.021,0.0,0.0,0.002,0.006,0.007,0.0,0.0,0.0,0.005,0.005,0.014,0.009,0.006,0.022,0.01,0.0,0.006,0.011,0.014,0.0,0.549,0.0,0.017,0.01,0.002,0.01,0.006,0.022,0.007,0.014,0.004,0.01,0.025,0.005,0.005,0.0,0.008,0.014,0.009,0.002,0.007,0.011,0.002,0.023,0.0
Nebraska-3,0.065,0.0,0.017,0.046,0.006,0.014,0.01,0.007,0.011,0.0,0.04,0.045,0.0,0.0,0.005,0.013,0.014,0.0,0.0,0.0,0.012,0.012,0.03,0.019,0.014,0.049,0.022,0.0,0.013,0.025,0.031,0.0,0.021,0.0,0.036,0.021,0.004,0.022,0.013,0.048,0.015,0.03,0.008,0.022,0.055,0.011,0.011,0.0,0.018,0.031,0.019,0.004,0.016,0.024,0.004,0.05,0.0
Nevada,0.009,0.0,0.002,0.006,0.001,0.003,0.001,0.001,0.001,0.0,0.005,0.006,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.005,0.002,0.0,0.001,0.002,0.003,0.0,0.001,0.0,0.888,0.002,0.001,0.003,0.002,0.005,0.002,0.003,0.001,0.003,0.006,0.001,0.001,0.0,0.002,0.005,0.002,0.0,0.002,0.003,0.0,0.005,0.0
New Hampshire,0.026,0.0,0.007,0.017,0.002,0.007,0.005,0.003,0.005,0.0,0.014,0.016,0.0,0.0,0.002,0.005,0.005,0.0,0.0,0.0,0.004,0.004,0.01,0.01,0.008,0.018,0.01,0.0,0.004,0.008,0.011,0.0,0.007,0.0,0.014,0.617,0.002,0.008,0.007,0.017,0.006,0.011,0.003,0.009,0.021,0.005,0.004,0.0,0.006,0.011,0.008,0.001,0.008,0.012,0.001,0.019,0.0
New Jersey,0.057,0.0,0.015,0.036,0.004,0.019,0.01,0.007,0.008,0.0,0.031,0.036,0.0,0.0,0.005,0.008,0.008,0.0,0.0,0.0,0.005,0.005,0.012,0.026,0.019,0.03,0.019,0.0,0.007,0.012,0.02,0.0,0.008,0.0,0.035,0.014,0.249,0.016,0.019,0.033,0.009,0.019,0.005,0.017,0.038,0.01,0.007,0.0,0.011,0.026,0.014,0.002,0.016,0.024,0.002,0.032,0.0
New Mexico,0.021,0.0,0.005,0.016,0.002,0.006,0.003,0.002,0.003,0.0,0.013,0.015,0.0,0.0,0.002,0.004,0.004,0.0,0.0,0.0,0.002,0.002,0.006,0.007,0.005,0.013,0.006,0.0,0.003,0.006,0.009,0.0,0.004,0.0,0.013,0.005,0.001,0.711,0.005,0.015,0.004,0.008,0.003,0.006,0.015,0.003,0.004,0.0,0.005,0.011,0.005,0.001,0.005,0.008,0.001,0.013,0.0
New York,0.025,0.0,0.006,0.015,0.001,0.008,0.004,0.003,0.004,0.0,0.014,0.015,0.0,0.0,0.002,0.003,0.003,0.0,0.0,0.0,0.002,0.002,0.005,0.01,0.007,0.013,0.008,0.0,0.003,0.005,0.008,0.0,0.004,0.0,0.015,0.005,0.002,0.007,0.689,0.014,0.004,0.008,0.002,0.007,0.016,0.004,0.003,0.0,0.005,0.011,0.005,0.001,0.007,0.01,0.001,0.013,0.0
North Carolina,0.008,0.0,0.002,0.006,0.001,0.002,0.001,0.001,0.001,0.0,0.005,0.006,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.0,0.001,0.001,0.002,0.003,0.002,0.006,0.003,0.0,0.001,0.002,0.003,0.0,0.002,0.0,0.005,0.002,0.001,0.003,0.002,0.889,0.001,0.004,0.001,0.003,0.006,0.001,0.001,0.0,0.002,0.004,0.002,0.0,0.002,0.003,0.0,0.005,0.0
North Dakota,0.033,0.0,0.009,0.022,0.003,0.009,0.005,0.003,0.005,0.0,0.018,0.021,0.0,0.0,0.003,0.006,0.007,0.0,0.0,0.0,0.004,0.004,0.011,0.011,0.008,0.021,0.013,0.0,0.006,0.011,0.016,0.0,0.008,0.0,0.018,0.009,0.002,0.01,0.008,0.021,0.528,0.014,0.004,0.01,0.026,0.006,0.005,0.0,0.008,0.016,0.008,0.001,0.008,0.013,0.002,0.026,0.0
